,Branch length stretch,Local substitution rate,date,numdate
AGAKG628-17|Mordellistena|Mordellidae|Canada|Ontario|,0.0,1.0000991166443414,,-156336111.00801158
AGAKG630-17|Mordellidae|Mordellidae|Canada|Ontario|,0.9996996840637382,1.0002962549200496,,-149861321.0543484
AGAKH307-17|Mordellistena|Mordellidae|Canada|Ontario|,0.9999760180388827,1.0000000000207896,,-152347999.1171149
AGAKI069-17|Mordellidae|Mordellidae|Canada|Ontario|,0.9999814257494788,1.000000000024396,,-155098483.70874494
AGAKK2077-17|Mordellina_ancilla|Mordellidae|Canada|Ontario|,0.0,1.0000893921288967,,-155842711.61627942
AGAKL2378-17|Mordella_marginata|Mordellidae|Canada|Ontario|,0.9990934288710546,1.0011739640131456,,-159127841.17422372
AGAKS1997-17|Mordellistena|Mordellidae|Canada|Ontario|,0.9999923288090801,1.0000000000000133,,-153591795.89686728
BIOD00020,0.0,1.0131977801906762,,-157172017.31050795
BIOD00189,0.999996261292527,1.0000000000017981,,-145625095.1710215
BIOD00190,0.9999842321508784,0.9999999953566712,,-155712929.62088266
BIOD00195,0.9988349126657533,1.0017597075863354,,-160721001.58380094
BIOD00197,0.999084913093827,1.0011717689923914,,-159757860.7960535
BIOD00204,0.9996811092544243,1.0002953503684329,,-154640122.52541497
BIOD00240,0.9990536749843072,1.001329169726513,,-157033717.70221296
BIOD00347,0.0,1.0000000000211302,,-152452672.45553577
BIOD00461,0.999987802368621,1.0000000000657692,,-153241995.3694504
BIOD00691,0.9999825159164114,1.000000000013897,,-157132564.18639117
BIOD00700,0.9999898469420357,1.0000000000000018,,-150967938.01308694
BIOD00704,0.9999858177509912,1.0000000000000009,,-152385603.41693547
BIOD00705,0.8214944719859647,1.0953326523815887,-162997976.0,-164148390.5360696
BIOD00752,0.0,1.000000226023208,,-158521680.91477802
BIOD00826,0.9329921409282379,1.9344785240781701,-171997976.0,-173211910.3568614
BIOD00848,0.9280126183576933,1.0449285387657616,,-157819549.96537694
BIOD00922,0.9997025411299645,1.0002956690796057,,-143818751.4066283
BIOD00948,0.9999915339789026,1.0000000000070244,,-155905348.4992976
BIOD01029,0.9999823931771912,1.000000000000003,,-155085574.9425232
BIOD01031,0.0,0.9999999977139252,,-158262876.77968988
BIOD01066,0.0,1.0000000107955576,,-151836246.68720257
BIOD01099,0.9999854095993715,1.0000000001387173,,-154050495.91430074
BIOD01103,0.0,1.0003892348983943,,-159146134.6065213
BIOD01147,0.999793720974291,1.0002968746421101,,-155395406.25934556
BIOD01155,0.0,1.0000000427874383,,-156900770.78815308
BIOD01158,0.9999950159111494,1.0,,-140072901.23785025
BIOD01159,0.9999955360183994,0.9999999999998667,,-149437835.7123811
BIOD01192,0.9999903281611063,1.000000033036103,,-153589481.73540658
BIOD01199,0.9999941456913795,1.0000000054682232,,-154195559.91076928
BIOD01213,0.999740473907504,1.0002966312365493,,-155756694.77590197
BIOD01216,0.9999604444668265,1.0000000000187477,,-159365331.55000764
BIOD01222,0.999990694021308,0.9999999999993631,,-153471005.8097664
BIOD01236,0.9999906605084933,1.0000625934286402,,-158845280.62074065
BIOD01239,0.9997265928732312,1.0002483928810553,,-162482402.58365396
BIOD01293,0.9999773248497851,1.0,,-153973890.8875446
BIOD01314,0.9999936646153471,1.0000000000000007,,-145572431.93308797
BIOD01318,0.9999941847276018,0.9396577927589926,,-156215764.69329444
BIOD01330,0.9999934756317194,0.9999978762974646,,-155402093.06797215
BIOD01382,0.9990266212129889,1.0011670423538428,,-156488540.34871677
BIOD01393,0.9999910818883648,0.999999997400006,,-153341711.113555
BIOD01400,0.999990765204471,1.0000000000154332,,-155224105.78710204
BIOD01409,0.9997715793338633,1.0002966044819492,,-149253071.90772855
BIOD01415,0.9999933506517311,0.9999999971883436,,-155013623.71489948
BIOD01455,0.9999592479454736,1.0000000000000062,,-154567948.93999726
BIOD01457,0.9999739379784701,0.8358067569184296,,-162235206.67090833
BIOD01473,0.0,1.0000987754019013,,-156518799.64799842
BIOD01503,0.0,1.0000000026032547,,-157683655.79588553
BIOD01509,0.9998020375586949,1.0002969723588744,,-148753354.69119748
BIOD01524,0.9999954008327453,0.9999913945830323,,-150667617.8833686
BIOD01570,0.9999865407767877,1.0000000000105518,,-153638866.77073917
BIOD01571,0.7376500632980721,1.179643108721587,,-160353352.87626997
BIOD01659,0.0,1.000099088864804,,-148600137.42029792
BIOD01663,0.9999879461503575,1.0,,-149643443.39331812
BIOD01670,0.999995738439059,0.948778752494957,,-152156017.81757483
BIOD01672,0.0,0.9999999992598884,,-153579671.2431549
BIOD01675,0.9999725598825475,1.0000000000218205,,-154587006.02982685
BIOD01677,0.9999852118233635,1.000000000004111,,-151526974.8446486
BIOD01690,0.9999904424264372,1.0000000326483867,,-151696712.33708918
BIOD01827,0.9997165258191041,1.00029586998106,,-154807251.80004367
BIOD01866,0.7376533052845514,1.1796463513677888,,-155958167.3059662
BIOD01896,0.9820021306066926,1.0096170351615754,,-146425284.42388898
BIOD01904,0.9999928601413123,1.000000000024144,,-154827240.06745943
BIOD01907,0.9999961564482763,0.9722622351995218,,-151435571.3414044
BIOD01909,0.0,1.0000000023671138,,-157537059.9214712
BIOD01912,0.0,1.0000979198494642,,-158454962.20517117
BIOD01946,0.9997656685449239,1.0002965300072935,,-151882682.08263108
BIOD01953,0.9999941901835625,1.0000000197511394,,-152586947.9595244
BIOD01967,0.9999959028087643,1.0000000000366207,,-147464733.95478028
BIOD01972,0.0,1.00000037351158,,-153261940.39446184
BIOD02004,0.9999899379110195,1.000000000024421,,-156338956.64473993
BIOD02080,0.9999723417548172,1.0000000000201756,,-159314633.93256408
BIOD02094,0.0,1.000000000006852,,-155714508.7555028
BIOD02107,0.9999909101115212,0.9890027620443707,,-158812960.4181845
BIOD02153,0.0,1.0000000070240356,,-147561142.44008878
BIOD02167,0.9999738580546422,0.9999928562844809,,-160505435.35390818
BIOD02315,0.0,1.0003842619717689,,-159237948.3442371
BIOD02330,0.0,1.000000016173153,,-154926051.0934642
BIOD02672,0.9999865733663085,0.9999999941024932,,-158741988.6399464
BIOD02797,0.9996151308336291,1.0002944929403415,,-159632554.67052367
BIOD02868,0.8570723870158358,1.0937006371705225,,-159154948.74142867
BIOD03004,0.9999648493863506,1.0000001233114848,,-153247274.49601167
BIOD03157,0.9999906204242922,1.0000000000163811,,-154896500.11187735
BIOD03198,0.0,1.000005857209023,,-153990896.7557888
BIOD03207,0.0,1.0000000000010647,,-143013400.51835912
BIOD03229,0.0,1.0000246050474793,,-162908165.3007169
BIOD03252,0.9999828572063356,1.0000000591953466,,-157969445.0206747
BIOD03267,0.0,1.0,,-142990472.96245348
BIOD03269,0.0,1.0000000000000013,,-150843836.6427752
