#node	date	numeric date
BIOD05299	-133997976-01-01	-133997976.000000
GMHMH008-15|Cleridae|Cleridae|Honduras|Cortes|	-133997976-01-01	-133997976.000000
NODE_0000130	-145730409-10-01	-145730408.250570
NODE_0000136	-145730409-10-01	-145730408.250570
NODE_0000162	-141114146-06-13	-141114145.550712
JICCJ050-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000163	-136669055-05-03	-136669054.664284
JICFP070-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
CCCP00027	-133997976-01-01	-133997976.000000
NODE_0000188	-136206373-07-22	-136206372.445489
JICAL018-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000189	-134465843-06-01	-134465842.584142
GMHJB382-15|Cleridae|Cleridae|Honduras|Cortes|	-133997976-01-01	-133997976.000000
BIOD00989	-133997976-01-01	-133997976.000000
NODE_0000190	-142979585-03-11	-142979584.808275
NODE_0000142	-142979585-03-11	-142979584.808275
GMCRY172-14|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
GMMCJ1173-14|Cleridae|Cleridae|Mexico|Jalisco|BIOUG_CHAMELA	-133997976-01-01	-133997976.000000
NODE_0000192	-142433082-03-01	-142433081.837880
NODE_0000193	-136208751-02-08	-136208750.894565
BIOD06062	-133997976-01-01	-133997976.000000
BIOD03927	-133997976-01-01	-133997976.000000
NODE_0000194	-141547595-11-28	-141547594.090444
NODE_0000195	-141121991-10-10	-141121990.226968
NODE_0000196	-137170459-12-22	-137170458.026985
GMNZT194-14|Cleridae|Cleridae|New_Zealand|Waikato|BIOUG_NZ	-133997976-01-01	-133997976.000000
GMNZL099-14|Cleridae|Cleridae|New_Zealand|Waikato|BIOUG_NZ	-133997976-01-01	-133997976.000000
NODE_0000197	-140820002-01-30	-140820001.919180
NODE_0000198	-134108151-02-10	-134108150.888024
GMCRN2848-13|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
BIOD00427	-133997976-01-01	-133997976.000000
NODE_0000199	-137965038-12-18	-137965037.037390
JICAL022-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000200	-134021370-09-02	-134021369.329207
GMPAA046-18|Cleridae|Cleridae|Panama|Panama|	-133997976-01-01	-133997976.000000
BIOD01121	-133997976-01-01	-133997976.000000
NODE_0000154	-141547595-11-28	-141547594.090444
BIOD03444	-133997976-01-01	-133997976.000000
NODE_0000202	-139421332-10-10	-139421331.225272
NODE_0000203	-134763123-10-22	-134763122.194391
GMCRB1282-13|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
JIAAF010-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000204	-138841034-07-22	-138841033.445991
NODE_0000205	-134021370-09-02	-134021369.329207
GMPAZ294-18|Cleridae|Cleridae|Panama|Panama|	-133997976-01-01	-133997976.000000
GBDL00910	-133997976-01-01	-133997976.000000
NODE_0000206	-138005206-06-06	-138005205.571481
NODE_0000207	-134397937-01-10	-134397936.972908
JIFFO032-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000164	-134397937-01-10	-134397936.972908
JIFFO030-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
JIAAH111-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000209	-137682501-11-30	-137682500.086323
CNGSE3372-15|Madoniella_dislocata|Cleridae|Canada|Saskatchewan|BIOUG_GRASS-NP	-133997976-01-01	-133997976.000000
NODE_0000210	-136878994-03-09	-136878993.814397
JICBD315-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000211	-135512652-12-27	-135512651.013210
JICGT086-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000212	-135040360-09-17	-135040359.289632
GMCCB1825-17|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
GBDL00750	-133997976-01-01	-133997976.000000
NODE_0000089	-148047926-06-25	-148047925.519263
NODE_0000174	-148047926-06-25	-148047925.519263
GBDL03147	-133997976-01-01	-133997976.000000
NODE_0000091	-145793400-02-22	-145793399.857474
NODE_0000093	-143986492-03-08	-143986491.818979
GBDL03348	-133997976-01-01	-133997976.000000
NODE_0000094	-141066334-11-20	-141066333.113193
NGNAT637-14|Cymatodera_decipiens|Cleridae|Canada|British_Columbia|BIOUG_AFTONMINE_S2	-133997976-01-01	-133997976.000000
NODE_0000095	-134724746-10-02	-134724745.246735
GMCRK2650-13|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
NODE_0000096	-134575756-07-01	-134575755.502038
GMCRL2259-13|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
NODE_0000182	-134465964-05-27	-134465963.599160
GMCRL2252-13|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
GMCRI885-13|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
NODE_0000185	-145793400-02-22	-145793399.857474
GMBCE2246-15|Cleridae|Cleridae|Bangladesh|Chittagong|BIOUG_BANGLADESH	-133997976-01-01	-133997976.000000
NODE_0000098	-143301119-03-27	-143301118.766256
NODE_0000099	-141351620-09-23	-141351619.272052
GMCDV011-17|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
JIAAL010-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000100	-142770738-05-29	-142770737.594379
NODE_0000101	-134472564-01-05	-134472563.988373
NODE_0000102	-134208177-10-31	-134208176.168288
GMGSD530-12|Cymatodera|Cleridae|United_States|Tennessee|BIOUG_GSM-NP	-133997976-01-01	-133997976.000000
RRMFG2656-15|Cymatodera|Cleridae|Canada|Ontario|	-133997976-01-01	-133997976.000000
NODE_0000103	-134273576-02-26	-134273575.845899
NODE_0000126	-134265775-06-18	-134265774.537188
GMFRS069-15|Cymatodera_bicolor|Cleridae|United_States|Virginia|BIOUG_FRONTROYAL	-133997976-01-01	-133997976.000000
CNTID3603-15|Cymatodera_bicolor|Cleridae|Canada|Ontario|BIOUG_STLAW-NP	-133997976-01-01	-133997976.000000
NODE_0000104	-134156864-11-22	-134156863.107557
GMFRR566-15|Cymatodera_bicolor|Cleridae|United_States|Virginia|BIOUG_FRONTROYAL	-133997976-01-01	-133997976.000000
CNPEE2068-14|Cymatodera_bicolor|Cleridae|Canada|Prince_Edward_Island|BIOUG_PEI-NP	-133997976-01-01	-133997976.000000
NODE_0000106	-141179787-02-14	-141179786.878193
NODE_0000201	-141179787-02-14	-141179786.878193
BIOD00968	-133997976-01-01	-133997976.000000
GMCRK2644-13|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
NODE_0000108	-138760879-02-05	-138760878.902841
NODE_0000109	-135459969-11-22	-135459968.108502
GMHMQ079-15|Cleridae|Cleridae|Honduras|Cortes|	-133997976-01-01	-133997976.000000
BIOD01320	-133997976-01-01	-133997976.000000
NODE_0000208	-138760879-02-05	-138760878.902841
GMHKB136-15|Cleridae|Cleridae|Honduras|Cortes|	-133997976-01-01	-133997976.000000
NODE_0000111	-134377110-04-19	-134377109.702314
JICCC090-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
JICEF074-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000051	-146655029-12-20	-146655028.030649
NODE_0000213	-146655029-12-20	-146655028.030649
NODE_0000058	-145778945-12-29	-145778944.006688
NODE_0000222	-145778945-12-29	-145778944.006688
GMMDN1563-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976-01-01	-133997976.000000
NODE_0000059	-140787906-09-19	-140787905.284033
BIOD08417	-133997976-01-01	-133997976.000000
NODE_0000060	-134021370-09-02	-134021369.329207
BIOD09667	-133997976-01-01	-133997976.000000
BIOD04104	-133997976-01-01	-133997976.000000
NODE_0000062	-144428068-12-01	-144428067.083540
GMKMU127-15|Clerinae|Cleridae|Kenya|Laikipia|BIOUG_KENYA2	-133997976-01-01	-133997976.000000
NODE_0000063	-141589462-10-26	-141589461.182145
GMSAS059-13|Cleridae|Cleridae|South_Africa|Gauteng|BIOUG_MAGAL	-133997976-01-01	-133997976.000000
NODE_0000064	-139319821-06-20	-139319820.532682
GMKMU129-15|Cleridae|Cleridae|Kenya|Laikipia|BIOUG_KENYA2	-133997976-01-01	-133997976.000000
NODE_0000065	-136478497-06-29	-136478496.508422
GBDL01680	-133997976-01-01	-133997976.000000
NODE_0000066	-134021370-09-02	-134021369.329207
GMCHB393-14|Clerinae|Cleridae|China|Shaanxi|BIOUG_SHAANXI	-133997976-01-01	-133997976.000000
GBDL01886	-133997976-01-01	-133997976.000000
NODE_0000241	-146655029-12-20	-146655028.030649
NODE_0000252	-146655029-12-20	-146655028.030649
NODE_0000214	-144775954-02-19	-144775953.865366
GBDL00810	-133997976-01-01	-133997976.000000
NODE_0000215	-142386708-07-22	-142386707.443963
GMGGB985-17|Cleridae|Cleridae|Gabon|Moyen-Ogooue|	-133997976-01-01	-133997976.000000
NODE_0000216	-134021370-09-02	-134021369.329207
GBDL00670	-133997976-01-01	-133997976.000000
GBDL01683	-133997976-01-01	-133997976.000000
NODE_0000261	-146654945-07-20	-146654944.451209
NODE_0000052	-143682717-04-30	-143682716.673132
NODE_0000053	-134965221-06-15	-134965220.547921
BIOD04158	-133997976-01-01	-133997976.000000
BIOD05952	-133997976-01-01	-133997976.000000
NODE_0000054	-140920516-03-31	-140920515.755305
BIOD05907	-133997976-01-01	-133997976.000000
NODE_0000055	-138874450-06-02	-138874449.580896
GMMGG156-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976-01-01	-133997976.000000
BIOD05880	-133997976-01-01	-133997976.000000
NODE_0000068	-144687636-05-24	-144687635.607355
NODE_0000069	-143999112-01-07	-143999111.983492
GMNGU344-16|Cleridae|Cleridae|Papua_New_Guinea|Madang|	-133997976-01-01	-133997976.000000
NODE_0000070	-141493431-06-08	-141493430.565259
GMSAV2268-13|Cleridae|Cleridae|South_Africa|Gauteng|BIOUG_MAGAL	-133997976-01-01	-133997976.000000
NODE_0000071	-135610537-09-13	-135610536.300585
JICCU952-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
GMFRT025-15|Cleridae|Cleridae|United_States|Virginia|BIOUG_FRONTROYAL	-133997976-01-01	-133997976.000000
NODE_0000072	-143700373-06-01	-143700372.584805
GMMDI142-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976-01-01	-133997976.000000
NODE_0000073	-143071349-12-14	-143071348.047710
NODE_0000074	-141176782-10-09	-141176781.227508
NODE_0000075	-140575781-06-14	-140575780.548710
GMGSF464-12|Cleridae|Cleridae|United_States|Tennessee|BIOUG_GSM-NP	-133997976-01-01	-133997976.000000
NODE_0000076	-140063541-04-23	-140063540.693044
